,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
84,The Beatles,The Beatles (Remastered),I Will ,09x9v1o51dbqi5H0u7UGfp,0.631,0.387,5,-11.529,1,0.0262,0.000406,0.0822,0.832,103.11,105933,4
85,The Beatles,The Beatles (Remastered),Julia ,5FnpXVgDOk2sLT58qM22Of,0.512,0.0953,2,-16.082,1,0.0304,0.000268,0.117,0.193,134.706,176667,4
86,The Beatles,The Beatles (Remastered),Birthday ,1ABegtCPBMMJaMpfDyATjE,0.541,0.727,2,-7.509,1,0.0384,0.717,0.232,0.91,139.239,163080,4
87,The Beatles,The Beatles (Remastered),Yer Blues ,2AsGApoUuN8pTM17Lq9eUd,0.327,0.525,9,-10.272,1,0.0475,0.259,0.133,0.435,151.766,240453,3
88,The Beatles,The Beatles (Remastered),Mother Nature's Son ,6TjUg1cTUzWHbal6yQAi7c,0.608,0.178,2,-17.109,1,0.0264,0.352,0.166,0.401,84.78,168027,4
89,The Beatles,The Beatles (Remastered),Everybody's Got Something To Hide Except Me And My Monkey ,64P3zpRsDHIk7YTpRtaKYL,0.523,0.731,2,-8.613,1,0.0559,0.000464,0.081,0.81,117.089,144773,4
90,The Beatles,The Beatles (Remastered),Sexy Sadie ,2tBv9tAdqEbLNDi5smSjbg,0.577,0.624,0,-9.626,1,0.0285,0.00622,0.117,0.671,75.478,195267,4
91,The Beatles,The Beatles (Remastered),Helter Skelter ,0Bs0hUYxz7REyIHH7tRhL2,0.166,0.831,9,-8.469,1,0.0894,0.846,0.811,0.281,167.518,269787,4
92,The Beatles,The Beatles (Remastered),"Long, Long, Long ",40d2EcaOOCUjDzzo2YvUWn,0.349,0.129,5,-15.883,1,0.0294,0.405,0.192,0.163,104.837,186307,3
93,The Beatles,The Beatles (Remastered),Revolution 1 ,1aOzDhi5a1RWWRy5dmYA8I,0.386,0.626,9,-9.451,1,0.0377,0.00164,0.621,0.695,98.425,255707,4
94,The Beatles,The Beatles (Remastered),Honey Pie ,1TPcNcmuKlq0PKpYOBgP1U,0.537,0.297,7,-15.452,1,0.0822,1.5e-05,0.145,0.553,144.197,161160,4
95,The Beatles,The Beatles (Remastered),Savoy Truffle ,5iyCSUM7zzficwaGo8GIoc,0.623,0.544,11,-11.043,0,0.0536,0.309,0.134,0.793,120.761,174467,4
96,The Beatles,The Beatles (Remastered),Cry Baby Cry ,5XmetMMUFNXClbiYnGdVmP,0.517,0.529,9,-11.851,0,0.0323,0.00396,0.174,0.362,76.644,182080,4
97,The Beatles,The Beatles (Remastered),Revolution 9 ,5dZ8PeKKZJLIQAWNTdp8WX,0.208,0.615,2,-15.297,0,0.342,0.118,0.824,0.101,91.158,502013,4
98,The Beatles,The Beatles (Remastered),Good Night ,3T4Kt51PV4k8tx6YCtBgcl,0.146,0.355,7,-14.583,1,0.0352,0.835,0.114,0.178,146.408,193760,3
99,The Beatles,Magical Mystery Tour (Remastered),Magical Mystery Tour ,0qHMhBZqYb99yhX9BHcIkV,0.297,0.613,9,-9.065,1,0.0931,3.98e-05,0.0734,0.338,170.962,170107,4
